archivo,line_count,keyword_count,unique_keywords,nested_structures,complex_constructs,score
repo1/ABBCapacityMarketRept.f90,129,27,11,6,0,196
repo1/Abb_CapMarketRptData.f90,23,9,5,0,0,42
repo1/COAL_VECTOR_OBJ.F90,333,115,18,33,2,589
repo1/CapacityOptionsFileResourceIndexes.f90,24,19,3,0,0,49
repo1/Coal_Model_Modules.f90,897,352,12,63,0,1462
repo1/Coal_modules_makeovl.F90,1612,398,19,119,7,2426
repo1/FINACELM.FOR,744,104,20,49,8,1059
repo1/FN_OBJT.FOR,351,75,12,28,6,552
repo1/Finaclp2.for,2069,353,18,237,14,3211
repo1/Findovls.for,1720,414,14,195,5,2762
repo1/GAS_objt.for,18704,3194,29,1369,209,26690
repo1/LDPROB01.FOR,355,67,12,46,0,584
repo1/MIDASFileIndexingRoutines.f90,937,295,17,117,3,1626
repo1/NEWPKSHF.FOR,774,149,14,83,0,1200
repo1/PF_OBJT.FOR,683,136,15,56,15,1062
repo1/PRNGENER.FOR,46,22,9,5,2,107
repo1/RDI_OBJT.FOR,2099,198,17,53,30,2580
repo1/RPTH_OBJ.FOR,33,6,6,0,1,54
repo1/ReadEnergyProductsData.f90,38,7,5,0,0,55
repo1/TRNSFRM3.FOR,396,69,14,33,3,601
repo1/WinFileFindData.for,28,12,4,0,0,48
repo1/aa_objt.f90,318,88,16,21,6,519
repo1/ac_elmeq.f90,364,173,4,0,166,1043
repo1/ac_equiv.f90,1233,1516,9,0,540,4387
repo1/aitvafin.f90,7,4,3,0,0,17
repo1/aitvaprod.f90,22,15,5,0,1,50
repo1/amt1.f90,7,6,3,0,0,19
repo1/amt2.f90,14,7,4,0,0,29
repo1/andecomp.f90,1446,432,19,177,20,2507
repo1/annl_nuc.f90,5,3,3,0,0,14
repo1/annual_cl_unit.f90,13,9,3,0,0,28
repo1/annual_contracts.f90,9,7,3,0,0,22
repo1/arrays1.f90,31,4,3,0,0,41
repo1/bfil_obj.f90,1388,189,12,6,126,1997
repo1/cal_marginal_interface.f90,13,10,4,0,0,31
repo1/calendar.f90,90,26,10,9,0,163
repo1/canadian.f90,9,8,3,0,0,23
repo1/cap_objt.f90,15348,3667,26,976,29,22082
repo1/cap_prod_costs.f90,19,13,3,0,0,38
repo1/cap_shared.f90,29,14,8,2,0,65
repo1/cap_trans.f90,8,5,4,0,0,21
repo1/capacity_arrays.f90,590,299,14,50,0,1067
repo1/capacity_options_alloc_vars.f90,128,30,11,2,0,186
repo1/capacity_options_fixed_variables.f90,63,32,3,0,0,101
repo1/cat2objt.f90,5244,1037,25,236,59,7216
repo1/catawba.f90,330,72,11,10,8,478
repo1/cf_objt.f90,932,265,20,66,28,1519
repo1/cl_capacity_planning_adjustments_ext.f90,341,96,16,41,1,595
repo1/cl_data.f90,163,62,12,15,0,294
repo1/cl_maint.f90,6,3,3,0,0,15
repo1/cl_object_ext.f90,1912,266,18,44,7,2367
repo1/cl_object_shared.f90,26,18,5,0,0,54
repo1/cl_screen_data_ext.f90,962,192,15,49,40,1451
repo1/cl_screen_data_mod.f90,30,9,5,0,0,49
repo1/cl_units_read_data.f90,611,62,8,0,0,689
repo1/cl_units_read_decs.f90,23,16,6,0,0,51
repo1/cl_units_read_ext.f90,10846,1417,20,652,184,14811
repo1/cla2_decs.f90,9,5,4,0,0,22
repo1/cla_decs.f90,77,28,7,1,0,122
repo1/cla_fuel.f90,5,4,2,0,0,13
repo1/cla_objt.f90,106,39,14,5,1,191
repo1/cla_objt_arrays.f90,187,52,13,5,0,280
repo1/class_amt1.f90,11,9,4,0,0,28
repo1/class_canadian.f90,15,13,4,0,0,36
repo1/class_ctaxes.f90,17,12,3,0,0,35
repo1/class_master.f90,46,36,3,0,1,91
repo1/class_parameters.f90,143,9,4,0,0,160
repo1/class_ratebase.f90,6,5,3,0,0,17
repo1/class_results.f90,71,63,5,0,1,147
repo1/class_run_switchesc.f90,17,10,4,0,0,35
repo1/class_run_switchesl1.f90,32,20,4,0,0,60
repo1/class_run_switchesl4.f90,8,4,4,0,0,20
repo1/class_tax_losses.f90,26,7,4,0,0,41
repo1/class_tva_ai_financial.f90,16,12,4,0,0,36
repo1/clgetter.f90,13,11,5,0,0,34
repo1/clm_decs.f90,101,39,10,12,0,196
repo1/clm_objt.f90,2264,797,25,309,32,4134
repo1/clm_objt_pay.f90,8,6,5,0,1,27
repo1/closfile.f90,200,79,13,13,0,344
repo1/clreport.for,1269,426,16,111,5,2075
repo1/clreport_decs.f90,21,9,5,0,0,40
repo1/clreport_routines.f90,417,126,14,10,0,601
repo1/cls_load.f90,17,11,3,0,0,34
repo1/cls_runs.f90,736,167,16,60,19,1172
repo1/cn_objt.f90,3549,816,23,293,87,5551
repo1/cn_objt_shared.f90,3,2,2,0,0,9
repo1/cnwmsubs.f90,3241,1581,22,499,68,6567
repo1/co2_cap_n_trade.f90,48,15,6,0,0,75
repo1/co2_data.f90,9,7,4,0,0,24
repo1/co2_market_abatement_curves.f90,18,7,4,0,0,33
repo1/co_objt.for,542,156,17,42,10,888
repo1/coal_cnw_files_read_input.f90,75,68,6,0,0,155
repo1/coal_main_prg.f90,2350,639,18,191,7,3619
repo1/coal_obj.for,18758,3299,28,1446,197,27042
repo1/contracts_data.f90,47,41,4,0,0,96
repo1/conversion_routines.f90,180,93,8,14,0,331
repo1/cpl_objt.f90,550,102,15,19,10,769
repo1/csvdat.f90,8,3,3,0,0,17
repo1/ct_objt.f90,1150,243,20,77,16,1712
repo1/ctaxes.f90,15,12,4,0,0,35
repo1/data_integrity.f90,94,39,10,8,0,177
repo1/de_objt.f90,1782,284,17,35,118,2559
repo1/dirpath.f90,30,14,8,2,0,66
repo1/dr_booth.for,3886,1014,22,296,12,5868
repo1/dr_both2.f90,2617,648,20,199,25,3977
repo1/dreptcom.f90,410,718,5,0,0,1138
repo1/drilling_rept_params.f90,90,31,7,0,0,135
repo1/dsex_data.f90,19,8,6,1,0,42
repo1/dsex_obj.f90,7663,1237,18,112,287,10133
repo1/dsex_obj_interfaces.f90,17,13,5,0,0,40
repo1/dsf.f90,41,4,4,0,0,53
repo1/dsf1.f90,6,4,4,0,0,18
repo1/dsf2.f90,37,4,4,0,0,49
repo1/dsfc.f90,11,7,4,0,0,26
repo1/dsm.f90,11,7,4,0,1,29
repo1/dsm_objt.f90,3868,499,23,255,51,5331
repo1/dsmfrcom.f90,40,8,3,0,0,54
